TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.eteks.sweethome3d.model.Home,BRANCH,0.559734513,452,253
com.eteks.sweethome3d.model.HomeApplication,BRANCH,0,12,0
com.eteks.sweethome3d.model.HomeDescriptor,BRANCH,1,4,4
com.eteks.sweethome3d.model.HomeDoorOrWindow,BRANCH,0.967213115,61,59
com.eteks.sweethome3d.model.HomeEnvironment,BRANCH,0.955555556,90,86
com.eteks.sweethome3d.model.HomeFurnitureGroup,BRANCH,0.899122807,228,205
com.eteks.sweethome3d.model.HomeLight,BRANCH,1,14,14
com.eteks.sweethome3d.model.HomeMaterial,BRANCH,0.979591837,49,49
com.eteks.sweethome3d.model.HomeObject,BRANCH,0.810344828,58,47
com.eteks.sweethome3d.model.HomePieceOfFurniture,BRANCH,0.605022831,438,269
com.eteks.sweethome3d.model.HomePrint,BRANCH,1,14,14
com.eteks.sweethome3d.model.HomeTexture,BRANCH,0.93220339,59,56
com.eteks.sweethome3d.model.IllegalHomonymException,BRANCH,1,2,2
com.eteks.sweethome3d.model.InterruptedRecorderException,BRANCH,1,2,2
com.eteks.sweethome3d.model.Label,BRANCH,0.983870968,62,62
com.eteks.sweethome3d.model.LengthUnit,BRANCH,0.502702703,185,83
com.eteks.sweethome3d.model.Level,BRANCH,0.95,40,39
com.eteks.sweethome3d.model.LightSource,BRANCH,1,7,7
com.eteks.sweethome3d.model.NotEnoughSpaceRecorderException,BRANCH,1,2,2
com.eteks.sweethome3d.model.ObserverCamera,BRANCH,0.973684211,38,37
com.eteks.sweethome3d.model.PatternsCatalog,BRANCH,1,8,8
com.eteks.sweethome3d.model.Polyline,BRANCH,0.931578947,190,177
com.eteks.sweethome3d.model.RecorderException,BRANCH,1,3,3
com.eteks.sweethome3d.model.Room,BRANCH,0.957446809,188,180
com.eteks.sweethome3d.model.Sash,BRANCH,1,6,6
com.eteks.sweethome3d.model.SelectionEvent,BRANCH,1,2,2
com.eteks.sweethome3d.model.TextStyle,BRANCH,0.927272727,55,52
